query_id,query_category,model_name,iteration,total_sources,has_sources,response_time_ms,response_length
info_sante_001,Informationnelle - Santé,GPT-4o,1,0,False,10525,2020
info_sante_001,Informationnelle - Santé,GPT-4o,2,0,False,10642,2199
info_sante_001,Informationnelle - Santé,GPT-4o,3,0,False,12661,2335
info_sante_001,Informationnelle - Santé,GPT-4o,4,0,False,11148,2248
info_sante_001,Informationnelle - Santé,GPT-4o,5,0,False,11499,2501
info_sante_001,Informationnelle - Santé,Google-Search,1,10,True,254,30757
info_sante_001,Informationnelle - Santé,Google-Search,2,10,True,317,30757
info_sante_001,Informationnelle - Santé,Google-Search,3,10,True,257,30757
info_sante_001,Informationnelle - Santé,Google-Search,4,10,True,381,30757
info_sante_001,Informationnelle - Santé,Google-Search,5,10,True,258,30757
info_tech_001,Informationnelle - Technique,GPT-4o,1,0,False,12933,2806
info_tech_001,Informationnelle - Technique,GPT-4o,2,0,False,13498,3431
info_tech_001,Informationnelle - Technique,GPT-4o,3,0,False,16219,2576
info_tech_001,Informationnelle - Technique,GPT-4o,4,0,False,16579,2980
info_tech_001,Informationnelle - Technique,GPT-4o,5,0,False,18255,3091
info_tech_001,Informationnelle - Technique,Google-Search,1,10,True,431,34169
info_tech_001,Informationnelle - Technique,Google-Search,2,10,True,352,34168
info_tech_001,Informationnelle - Technique,Google-Search,3,10,True,268,34169
info_tech_001,Informationnelle - Technique,Google-Search,4,10,True,241,34169
info_tech_001,Informationnelle - Technique,Google-Search,5,10,True,422,34169
transac_voyage_001,Transactionnelle - Voyage,GPT-4o,1,0,False,9480,2208
transac_voyage_001,Transactionnelle - Voyage,GPT-4o,2,0,False,10917,1712
transac_voyage_001,Transactionnelle - Voyage,GPT-4o,3,0,False,10713,1466
transac_voyage_001,Transactionnelle - Voyage,GPT-4o,4,0,False,12366,1955
transac_voyage_001,Transactionnelle - Voyage,GPT-4o,5,0,False,6334,2191
transac_voyage_001,Transactionnelle - Voyage,Google-Search,1,10,True,696,52825
transac_voyage_001,Transactionnelle - Voyage,Google-Search,2,10,True,730,52825
transac_voyage_001,Transactionnelle - Voyage,Google-Search,3,10,True,661,51828
transac_voyage_001,Transactionnelle - Voyage,Google-Search,4,10,True,535,52825
transac_voyage_001,Transactionnelle - Voyage,Google-Search,5,10,True,324,52825
