query_id,query_category,model_name,iteration,total_sources,has_sources,response_time_ms,response_length
info_sante_001,Informationnelle - Santé,Claude-3-Sonnet,1,0,False,0,39
info_sante_001,Informationnelle - Santé,Claude-3-Sonnet,2,0,False,0,39
info_sante_001,Informationnelle - Santé,Claude-3-Sonnet,3,0,False,0,39
info_sante_001,Informationnelle - Santé,Claude-3-Sonnet,4,0,False,0,39
info_sante_001,Informationnelle - Santé,Claude-3-Sonnet,5,0,False,0,39
info_sante_001,Informationnelle - Santé,GPT-4o,1,0,False,8541,62
info_sante_001,Informationnelle - Santé,GPT-4o,2,0,False,11823,62
info_sante_001,Informationnelle - Santé,GPT-4o,3,0,False,10049,62
info_sante_001,Informationnelle - Santé,Google-Search,1,10,True,483,29603
info_sante_001,Informationnelle - Santé,Google-Search,2,10,True,289,29603
info_sante_001,Informationnelle - Santé,Google-Search,3,10,True,281,29603
info_sante_001,Informationnelle - Santé,Google-Search,4,10,True,352,29603
info_sante_001,Informationnelle - Santé,Google-Search,5,10,True,398,29603
info_tech_001,Informationnelle - Technique,Claude-3-Sonnet,1,0,False,0,39
info_tech_001,Informationnelle - Technique,Claude-3-Sonnet,2,0,False,0,39
info_tech_001,Informationnelle - Technique,Claude-3-Sonnet,3,0,False,0,39
info_tech_001,Informationnelle - Technique,Claude-3-Sonnet,4,0,False,0,39
info_tech_001,Informationnelle - Technique,Claude-3-Sonnet,5,0,False,0,39
info_tech_001,Informationnelle - Technique,GPT-4o,1,0,False,15353,62
info_tech_001,Informationnelle - Technique,GPT-4o,2,0,False,10558,62
info_tech_001,Informationnelle - Technique,Google-Search,1,10,True,597,34926
info_tech_001,Informationnelle - Technique,Google-Search,2,10,True,263,34926
info_tech_001,Informationnelle - Technique,Google-Search,3,10,True,598,34925
info_tech_001,Informationnelle - Technique,Google-Search,4,10,True,446,34926
info_tech_001,Informationnelle - Technique,Google-Search,5,10,True,1833,34926
transac_voyage_001,Transactionnelle - Voyage,Claude-3-Sonnet,1,0,False,0,39
transac_voyage_001,Transactionnelle - Voyage,Claude-3-Sonnet,2,0,False,0,39
transac_voyage_001,Transactionnelle - Voyage,Claude-3-Sonnet,3,0,False,0,39
transac_voyage_001,Transactionnelle - Voyage,Claude-3-Sonnet,4,0,False,0,39
transac_voyage_001,Transactionnelle - Voyage,Claude-3-Sonnet,5,0,False,0,39
transac_voyage_001,Transactionnelle - Voyage,GPT-4o,1,0,False,9534,62
transac_voyage_001,Transactionnelle - Voyage,GPT-4o,2,0,False,7783,62
transac_voyage_001,Transactionnelle - Voyage,GPT-4o,3,0,False,8939,62
transac_voyage_001,Transactionnelle - Voyage,Google-Search,1,10,True,397,48938
transac_voyage_001,Transactionnelle - Voyage,Google-Search,2,10,True,600,48938
transac_voyage_001,Transactionnelle - Voyage,Google-Search,3,10,True,552,48938
transac_voyage_001,Transactionnelle - Voyage,Google-Search,4,10,True,403,48938
transac_voyage_001,Transactionnelle - Voyage,Google-Search,5,10,True,391,48938
